-16408,-32768,12152
-21776,-32768,9712
-10241,-1,-1
-14492,-19960,10580
24602,17149,7726
-14268,16484,8152
-5360,32767,3992
24583,20988,-4615
-17616,-9048,8524
-6336,32767,5804
-5400,32767,3800
-13112,-10708,9324
-21124,-32768,14852
-20848,-32104,9156
-5984,32767,5624
-9144,16596,5688
-23212,-32768,11444
24604,-16641,18501
-14088,16932,8072
24830,-28415,-25068
-6240,32767,3848
-17508,-32768,13144
-23392,-32768,12424
-13068,26108,7980
-5488,32767,4000
-12876,-9884,9140
-22272,-32768,14496
-18984,-18824,8772
-9420,32767,7288
-5548,32767,4208
-6796,32767,4108
-8664,21240,5416
-7964,27060,4816
-12780,-8460,9036
-20260,-28268,9004
-6304,32767,5868
-9724,11240,6432
-19436,-32768,14632
-23140,-32768,11432
-12528,30288,8144
-6172,32767,3840
-15680,-27224,11432
-22660,-32768,13980
-17276,-7128,8528
-7024,32767,6336
-7052,32767,4148
-19340,-32768,14208
-23312,-32768,12024
-22608,-32768,10116
-15044,9464,8164
-8792,32767,7040
-5432,32767,3816
-13412,-12864,9584
-20668,-32768,14852
-23164,-32768,12368
-22400,-32768,10156
-6028,32767,5584
-5548,32767,3612
-9908,9256,6732
-15684,-27588,11660
-18488,-32768,13840
-22084,-32768,14588
-23004,-32768,10744
-11712,32767,8016
-5512,32767,3712
-16988,-32768,12844
-32746,-255,2373
-5612,32767,3612
-21068,-32768,14772
20503,-10752,-8122
-8832,32767,7100
-5940,32767,5256
-5944,32767,5328
-5976,32767,5300
-9448,32767,7172
-13448,21468,8232
-15920,2812,8496
-19908,-26692,8856
-22740,-32768,10544
-22660,-32768,13612
-20564,-32768,14776
-14332,-17908,10568
-7744,29296,4576
-5856,32767,3632
-5644,32767,3680
-11720,-1776,8236
20707,14846,-29246
-5812,32767,3580
-6004,32767,4992
24827,3842,7948
-19588,-24304,8960
-21880,-32768,14556
-6448,32767,3820
-15328,6104,8280
-21800,-32768,14560
-5864,32767,3724
-21488,-32768,9560
-21892,-32768,14548
-7856,28752,4720
-15068,9464,8236
