-14232;80;13672
-17288;-17996;1200
-16680;-16744;2200
-8520;6948;11144
-15532;9128;10716
-13976;-8104;8272
-11444;8420;9352
-16060;-11112;5524
-16468;-11992;4984
-11512;-1432;9612
12541;-13318;31751
-11060;-328;10100
-14380;-7300;7164
-11960;8360;9632
-18052;10264;13832
-16756;-17720;1932
-16604;7584;12128
-9920;7840;9796
-9968;1940;10928
-13896;-6892;7432
-8372;6296;11128
-16496;7276;12120
-16812;6764;12332
-18624;7444;15368
-17616;6392;18520
-9760;1412;10928
-9760;1412;10928
-13864;-6548;7608
-16788;-6401;-1
-16508;-12328;4724
-18124;-19900;452
-16452;8960;18572
-13636;-5716;7904
-15140;8372;10472
-17756;-18640;876
-16692;-12904;4568
-10840;48;10260
-9904;2504;10964
-9044;7784;10288
-11388;-916;9824
-17872;-17264;1972
-18048;-19672;400
-15340;6560;17660
-18376;8468;15420
-13656;-4148;11044
-14712;-10964;6168
-16272;-15708;3112
-17296;-17764;1572
-14032;-8224;8440
-15692;7032;17896
-17900;-19564;444
-18064;-19536;360
-13004;-4504;8340
-9772;2792;11024
-9332;3712;11200
-11100;8144;9328
-8492;6812;10920
-15912;8012;11668
-16224;3388;17280
-16308;-12208;4744
-8992;7496;10272
12288;26621;10761
-17428;-18940;864
16384;5116;15111
-18404;4836;14264
-17380;-14760;3232
-10000;6368;9772
-14172;-7640;10808
-12068;6076;10148
-9012;5364;10152
-11904;-1960;9364
-17232;-18144;1276
-13400;-7876;8188
-13804;5868;10312
-14532;-8108;6876
-16951;-258;-258
-18208;6044;18164
-16288;2036;17488
-17272;-18312;1524
-8524;4784;11260
-11648;5564;9776
-16792;5772;12428
-18504;6580;17128
-18008;-19248;840
-17052;-18560;1748
-12800;6016;10060
-17708;-16276;1940
-18144;5836;13752
-16292;-16800;2928
12540;-11523;-1537
-15228;-8896;6292
-13188;-4952;8044
-10868;6180;9972
-14256;7269;-258
-17624;-16824;2328
-10844;7392;9624
-8684;7088;10596
-14500;-3176;13056
-17408;-15536;2932
-11436;6600;9800
