-8484;18452;4112
-11332;-5252;7440
20499;25341;-21218
-20900;-29852;9100
-7412;32767;7424
-18476;-32768;14332
-23324;-32768;9016
-11184;32767;8584
-6496;32767;6596
-7436;30416;3680
-20916;-32768;12480
-21312;-32768;12168
20504;18686;20780
-12972;31136;8888
-9660;8996;5100
-23724;-32768;8948
-10352;32767;8504
-14328;-28380;12528
-6184;32767;6224
-17796;-32768;14580
-13996;23576;8908
-15232;-32716;13448
-23564;-32768;9076
24811;3838;-7221
-19448;-17124;9116
-14144;-26264;11804
-7472;32767;7652
-10192;32767;8532
-16968;2084;9144
-20616;-26772;8808
-17524;-1796;9000
-23832;-32768;9640
-20760;-32768;12628
-6892;32767;3740
-6596;32767;3824
-20604;-27696;9048
-16456;-32768;14172
-8472;32767;8060
-16464;-32768;14300
-10152;4820;5456
-19336;-16192;9224
16390;14333;-3590
-7316;32766;-258
-18396;-32768;14260
20713;18687;-28451
-23208;-32768;10540
24585;21248;-30167
-9032;14868;4520
24823;-1029;-1029
-23044;-32768;10812
-5684;32767;4568
-13536;27688;8884
28917;-258;-258
-16556;4828;9116
-5848;32767;6224
28687;26365;-30959
-5848;32767;4056
-22712;-32768;9028
28924;-4097;-25113
-22368;-32768;9040
-9132;32767;8228
-11872;-9096;8252
-21948;-32768;11512
-8136;32767;7972
-21980;-32768;11692
-6016;32767;6820
-19516;-32768;13676
-5680;32767;4552
-23748;-32768;10240
-5720;32767;4548
-15588;12096;9024
-15016;-32096;12932
-32525;26881;22521
-14312;-27816;12144
-5988;32767;6584
-18396;-32768;14220
-5792;32767;6672
-20188;-23444;9200
-5668;32767;4752
-21784;-32768;11800
-6576;32767;7288
-22820;-32768;10940
-20676;-32768;12880
-9324;12444;5072
-9324;12444;5072
-14436;-29304;12456
-10992;32767;8496
-14980;-32768;12972
-6088;32767;4032
-22672;-32768;8828
-11108;-2820;6928
-7108;32767;7668
-23904;-32768;9657
-14472;21016;8576
-6044;32767;5948
-7776;32767;7676
-12016;-10208;8568
-22544;-32768;11284
-20231;-21503;29189
-5560;32767;4576
