-15320;7604;12848
-20225;-1800;-2046
-32768;-10120;-5696
-32768;-11420;-4244
-21220;3816;10236
13344;15370;-20478
-32768;-6068;2384
-25992;-6164;4552
-32768;-8900;-4428
-32768;-6532;4612
-320;92;8456
24656;4784;25796
23428;3736;25044
22380;7192;26732
-1740;1220;16908
-7656;7116;19768
876;236;7928
-30116;-7108;2248
1256;3184;6976
6464;-1008;15096
-20478;17652;-19196
-14596;-740;9944
-32768;-9800;-1164
-32768;-992;11108
6056;492;13108
-16384;-21256;512
-5808;2448;9072
4648;-1392;9516
-8928;3704;10472
-2508;236;8572
-16788;-1980;8660
-20226;-4348;-5632
-32768;-8940;-760
-32768;-4500;5292
24616;1468;23720
5076;1332;7780
-20480;10995;20223
1432;5360;8616
-5264;2340;9060
-3568;7888;20376
-8048;10828;13196
-32768;-9620;-536
-25652;632;8036
-32768;-11060;-5516
26368;1880;22224
-32768;-8420;620
-25216;4772;11736
-29232;-6436;2084
-7940;-4091;30464
-12684;624;10380
-28200;-1000;6632
-21000;-2164;6524
-12033;-31747;-7672
20436;7240;26908
-252;1064;8932
-11888;-36;10032
-32768;-8356;-316
-25860;424;8360
-26212;-5756;4160
-32765;-515;-515
8064;-1600;10772
-32768;-5040;6108
5760;432;8916
-11456;484;17636
-16130;30979;27903
20292;-892;18012
-16130;-7928;28927
17368;612;17340
-32768;-2812;1944
8340;-1468;11820
-14636;-1280;9772
24620;3132;24468
-7938;27900;-19962
-32768;-8352;464
-32768;-6732;-1168
-112;-848;16000
-3816;1908;8484
-3843;30473;253
-28272;-1424;6260
22692;5544;26448
-32768;-6844;536
2196;1580;6584
-32768;-9444;-4072
-6368;2520;9048
-20904;-4680;6932
-844;572;8340
-9188;2368;10740
-13800;-484;9996
-20204;-4116;6684
-32768;-7820;248
-32768;-4728;5236
-12908;912;10172
-11612;1704;10696
608;968;17488
-2592;1180;16600
2784;3264;7824
-11440;9468;13416
1172;4760;8008
21984;-1428;20864
-32056;-1556;13424
