6824;-3360;17048
-28552;-3536;12476
-11936;1520;8420
-20368;-6208;14256
-20226;-12808;-29188
11972;-1648;18800
-32768;1668;1484
-7708;-1104;6896
-24323;-2567;18950
11236;-172;20232
7932;704;20444
-204;-3396;10116
-25000;3144;4804
-32768;1416;24
580;-3908;11192
-16900;2696;7204
7824;-3440;15892
2148;-2056;11092
-32768;-116;1444
-10552;-480;7964
-11776;256;8356
-32768;472;1824
-32768;1112;260
596;-4040;10604
-4440;-3712;9028
-32768;-3968;9308
-32768;3504;764
-32768;4096;1580
-32768;276;2880
6364;-4068;14272
-11088;1952;8580
7436;-2344;15216
-8828;-12291;-515
-16636;3700;7652
12732;-244;18424
-30736;1180;3616
6452;-4028;16760
-32768;-1336;2260
-32768;-3612;9524
3184;-2368;18932
-32280;1572;10556
-32768;-1680;3860
-32768;960;4040
-4140;-3312;8188
-9564;-764;8288
-5264;-4036;8148
-12304;1224;8348
-32768;-904;5040
-3476;-4052;9408
-9584;-3624;7000
-396;740;19360
-20400;5056;6572
-7936;-2772;6452
-10288;-488;8272
-32768;-924;3316
-12034;10231;9472
-27756;2600;4144
-32768;-1028;8104
1852;-3136;11344
-3784;-2152;8048
-10236;1248;8752
-16382;17400;10234
-11240;-2464;7904
-7788;-1340;6708
-31436;5248;3504
11172;-988;18728
-7868;-1672;6752
-11780;1088;8496
-32768;-1036;4680
-21892;4252;6004
-32768;1040;360
-11568;-192;8084
-20480;-8447;17404
-2228;-32;19276
-18684;1524;7620
-32768;2944;2336
-28216;4452;4276
-6400;-2952;7108
-32768;3772;1780
3884;-3812;12664
-7028;-2152;6724
-6920;-1580;6812
-1644;-1572;19348
11776;-1704;19208
-32768;3184;1700
-12872;3152;8524
-32768;-1668;1000
-3232;-2064;19000
-13836;-3428;16572
-25992;-1488;12704
-18620;1776;7180
-7937;27915;15111
2608;-3056;10704
-10056;-1276;8824
10524;-3756;17108
12224;-2872;19500
-10828;440;17604
-16129;-11253;-6148
5284;-3284;20484
-20140;2673;-258
