-16016;-30960;12456
-20120;-32768;14560
-23172;-32768;13208
-8772;32767;7616
-5960;32767;3540
-21688;-32768;14520
-5104;32767;6276
-20836;-32600;8468
-20836;-32600;8468
-23292;-32768;13408
12517;3069;-25155
-20564;-32768;14820
-13376;23256;7620
-21300;-32768;14712
-5144;32767;3512
-23440;-32768;12524
-5072;32767;3684
-16516;188;7300
8424;-27906;10432
-16160;2396;7496
231;-6146;29120
-20460;-28808;7904
-8644;22192;5056
-17788;-8260;7400
-17328;-32768;13368
-4992;32767;6332
-5436;32767;6896
-16188;3924;7388
-20544;-28728;8048
-22328;-32768;14372
-16140;-32768;12572
-5800;32767;7044
-22472;-32768;14188
-8848;18992;5360
-21948;-32768;9236
-11224;900;7688
-14176;17880;7384
-23188;-32768;10696
-13260;-13116;9768
-15496;7288;7444
-12444;-7348;8996
-7504;32767;7568
-22216;-32768;14364
-9748;11000;6408
-16912;-3588;7520
-5088;32767;5532
-23404;-32768;12996
-12316;-6760;8968
-4924;32767;5564
-21572;-32768;14532
-4820;32767;4760
-23140;-32768;11180
-17844;-32768;13684
-17864;-9452;7472
-9432;14612;5932
-22252;-32768;9424
-7816;28540;4420
-4073;15872;30790
-13664;-15280;10148
-18448;-13352;7604
-8260;25284;4736
-22704;-32768;14052
-13776;-17156;10504
-4932;32767;6384
-23464;-32768;12180
-9028;18812;5224
-7939;23554;-23020
-22336;-32768;9576
-11604;-1652;8164
-13292;25412;7504
-22480;-32768;14328
-9556;13076;6128
-13072;26800;7768
-21484;-32768;14632
-3866;2813;27582
-5896;32767;7088
-23416;-32768;12204
-14692;-24316;11368
-6128;32767;3584
-5300;32767;6644
-14768;13248;7624
-15340;8572;7628
-23496;-32768;12876
-19204;-32768;14260
-9352;13884;6036
-4876;32767;5160
-4924;32767;6140
-23372;-32768;11848
-6828;32767;3712
-22396;-32768;9908
-8324;24124;4804
-13288;24228;7616
-14744;-23544;7679
-12044;32767;7768
-14820;-24220;11392
-15732;5840;7452
-20648;-32768;14624
-7832;32767;7552
-18708;-32768;14148
249;23042;4107
