-19692,32767,-2416
-15048,32767,-564
-4088,26352,10096
23264,-20520,12548
32767,-27628,31564
-32768,-32768,-10276
-17612,32767,-2032
-3855,-3329,986
-32768,23984,7328
-8900,32767,5076
32767,-29076,32068
-32768,3168,1832
8100,3300,15264
30108,-29108,21804
-32768,-32768,-9696
-32768,32512,9360
-32768,-7952,-1520
-32768,30120,8848
-32768,32767,7612
-26192,32767,-276
-6236,31540,8136
27620,-26016,14648
-2400,-32768,4824
-32768,-12680,-2996
-4572,27620,9840
32767,-27584,32767
-32768,-32768,-10576
-7616,32767,6464
32767,-27536,32432
-32768,-30716,-8756
8728,2324,15340
-880,-32768,5056
-23792,32767,-1244
32767,-27252,32767
-32768,-21260,-5524
32767,-31096,24500
-20176,32767,-2552
-32768,27780,8732
27860,-26060,14652
-32768,32767,10660
28092,-29796,20196
-6152,32767,7664
-32768,32767,7000
-32768,-32768,-10044
32048,-27796,25156
17268,-12316,13728
-13084,32767,500
-32768,16852,5732
31940,-28144,24756
-16100,32767,-1356
7352,-32768,7480
-31188,32767,3172
21240,-17772,12572
-16372,22061,-25542
-32768,-32768,-10168
-21256,32767,-2256
32767,-27484,32767
-32768,14892,5312
-2604,23244,11424
32767,-27088,32728
-32768,32767,11728
32767,-28048,32767
-32768,32767,10160
29776,-28860,16924
-32768,-32768,-10344
-6592,32767,7568
32767,-27184,29940
-32768,-23344,-1
-15792,32767,-1284
-12042,17681,-25099
21576,-31580,14712
-32768,-24957,-515
-32768,32767,4692
-5880,30604,8568
10820,-2228,14652
7224,3900,15076
-11492,32767,2424
-28448,32767,988
-25724,32767,-496
-4988,28696,-257
-19202,-12044,14857
32767,-27264,29892
-32768,-32768,-1972
-32768,-32560,-9304
-31496,32767,3988
-13464,32767,236
5352,7196,15132
17652,-13700,12944
15044,-10192,13568
11324,-3100,14804
-11732,32767,1952
-32768,20660,7668
19704,-32192,13140
32767,-27420,29804
32767,-27500,28764
32767,-27664,26532
-12281,-15057,-2512
32767,-28000,26052
31244,-28624,23204
-32768,12568,5044
