-18152,32767,4516
-32768,26876,-1656
396,-21872,13744
32292,-31032,25944
-20084,32767,2424
12048,-23568,16012
-32768,21204,-5724
12600,-516,10804
-8764,20724,7504
15700,-21144,16108
-32768,-12100,-2260
12276,-19748,16120
5928,-19468,15164
-32768,-14336,-2880
26360,-19188,19632
31060,-25688,24440
29604,-22672,22696
-2388,12112,10800
-444,8872,11244
25132,-28684,14424
31420,-31392,23424
12572,-23912,16168
21908,-24328,14896
25708,-26268,16208
-32768,-12332,-5152
32260,-30340,25940
-32768,-9788,-7976
-18020,27344,2988
-32768,31868,3684
28640,-27000,21772
-32768,25412,1928
-17892,24100,1936
18392,-19772,15792
-32768,-8172,-10008
-32768,26636,5400
-32768,27948,3704
28180,-21608,20960
24817,-11050,16099
17316,-19148,16336
-32768,31384,4424
29612,-31252,24628
-1332,8244,9880
-32768,-14712,4608
-32768,25132,1808
-32768,23884,-5868
-32768,29912,4480
-1496,10772,10432
-32768,-14796,4580
8456,-19120,15468
30792,-31516,23688
24764,-26568,14972
-32768,32767,2908
-32768,-17620,3904
-696,8996,10504
5788,-21548,14896
24818,22996,-14364
-12824,25036,5904
23680,-26376,14504
-32768,-7468,-7632
6108,2532,9484
-32768,32767,2872
16992,-5508,12232
-17924,29720,3976
20494,-17616,28189
23728,-24072,18432
20336,-18428,15736
-32768,-15572,-2768
-1412,9900,9860
-19928,25824,2876
4606,-258,-258
-21692,26952,3288
-16044,23876,3908
2772,7068,9700
29556,-30004,22328
16784,-20492,16288
17288,-19696,16352
16394,1830,-17132
-32768,23828,-5192
8004,-15584,15564
-32768,-7784,-7564
-32768,-11708,-2032
-32768,5636,-11344
-32768,-724,-10492
29728,-29964,24928
25140,-23364,16800
-32768,30076,2756
22016,-22712,14736
-32768,-15836,1676
31952,-31600,25848
-9700,21052,6912
3980,6148,9568
-32768,-2968,-9176
22468,-22904,14592
-14132,23456,4640
17860,-17080,16220
-30972,25244,5648
-32448,32767,2280
-4116,20944,9996
32767,-27168,28936
-32768,32767,-2168
