32767,-29248,30956
-176,18992,11780
-32768,-32768,892
-16764,32767,2128
21388,-32768,11560
-764,18748,11640
-32768,-32768,-6368
32767,-29748,22868
-32768,32767,2348
8208,-24019,10556
9188,-520,12736
-32768,-21200,-9984
32767,-29788,32348
-13216,32767,3368
-32768,-30576,-7964
32767,-29956,31084
-23836,32767,604
-32768,-32768,-1124
32767,-30256,30240
-32768,32767,1872
30584,-32636,19216
-32768,32767,1252
-4094,16930,-2787
-32768,24096,-1660
24460,-20908,12940
-6540,-32036,7284
-26460,32767,520
32760,-28292,20588
14848,-32768,9616
-32768,-16916,-10004
-32768,32767,4460
-32768,32767,3672
-32768,-16668,-9768
-4082,21043,31539
30480,-25616,17852
-7953,32727,-30783
-32768,-4064,-7972
-32768,-32768,-2372
19112,-32768,10788
32767,-28548,25892
2940,8972,12896
-32768,18436,-2352
892,-32476,8512
29824,-25236,17084
-32768,32767,5372
26244,-32768,14352
13124,-8548,11764
-32768,32767,2828
-32768,-12888,-9552
9624,-32768,8332
-32768,-24396,-9580
-2024,24056,11088
10360,-3136,12672
-32768,-32408,2252
-10072,32767,5424
32767,-30380,31788
-32768,-14452,-9636
-3668,24076,10240
32767,-30000,32767
-32768,-25384,-9292
-13772,32767,3032
32767,-29792,22436
-15364,-32064,6168
-7944,24022,-3094
29080,-26104,15804
-28104,-32528,4072
-27120,32767,300
32767,-30492,28588
-32768,-32768,-3416
-26460,32767,136
22124,-18656,11900
32767,-31020,28188
-7672,-32112,7384
-32768,-25988,-9224
-32768,13228,-4064
-32768,-27868,-8700
-18124,-32316,6188
23868,-32768,12680
32188,-27636,20308
-32768,32767,1568
32476,-27640,20892
-32768,16940,-2564
32767,-29636,30284
-7954,29400,-6467
7808,-32768,9128
7716,-220,12508
-32768,-18836,-10024
32767,-29892,31312
-32768,32767,1532
26292,-32768,14140
-10512,32767,5000
3944,-32764,8784
-9880,32767,5668
23948,-32768,12548
-32768,32767,968
-4084,27442,8752
1208,11576,-26629
-32768,10132,-4752
20160,-32768,11024
32767,-29628,32740
