-32768,560,-8684
32767,-29372,28220
4095,-1,-1
26552,-18608,16612
-32768,32767,1920
-32768,19656,-4528
18160,-27052,13740
20,21286,31793
-13012,32767,6040
-32768,9872,-7412
-32768,32767,1108
-3844,9945,-11518
-20516,32767,3236
-32768,-13404,-9276
22176,-15372,12844
8316,-26736,13224
-32768,32767,1860
29912,-21520,18896
-32768,32767,16
-32768,-19888,-6392
-32752,-26660,3908
-32768,32767,1892
24888,-29684,13140
-17204,32767,4732
-25004,-26848,5896
-32768,-23372,-3552
-16128,-27116,8016
-32768,-23876,-2316
-1808,-27072,11056
-8644,28708,8356
5576,1604,10104
32767,-32768,29480
-9948,32172,7676
-32768,23020,-4776
6152,-27080,11648
16760,-28196,12112
32767,-32768,25148
16932,-11512,10484
-32768,32767,1840
8211,31503,-26052
15668,-27904,12340
-11384,32767,7032
-32768,-23520,-4192
32767,-32768,26804
25040,-19220,13664
25088,-19332,13968
2072,8408,10652
-32768,32767,1924
-32768,32767,1980
-32768,32767,1576
-10016,32756,7852
24880,-19084,13692
-4824,23000,10040
-32768,32767,1304
-32768,32767,1628
-32768,32767,-952
-32768,32767,1456
-32768,32767,-1476
-32768,32767,1900
-32768,32767,1424
3244,7064,10936
-32768,-8676,-8604
15988,-10716,10580
26696,-30496,13552
27676,-31252,14280
-20084,-27064,7144
23596,-29768,12552
32767,-29092,24352
18200,-28344,12696
32767,-32768,26488
-28661,-29908,-17632
32767,-32768,29980
23056,-29316,12640
-32768,-23180,-4344
1516,9468,11024
4408,3964,10692
-32768,32767,2244
-32768,-17080,-8372
-32768,32767,2164
-26932,32767,1552
22548,-29800,12736
24692,-18532,13504
-32768,32767,280
-32768,-24220,-1500
-24562,-18383,-15579
10396,-27756,11456
3936,6656,10936
-32768,-23648,-3096
20308,-29472,11680
720,13156,11080
-32768,32767,1176
-4152,-27428,9524
7280,-27676,10472
-32768,-26296,1452
-32768,-25344,-1204
-25004,32767,2920
18432,-12964,10996
13964,-28448,10504
-13332,-27256,7936
-32768,-17920,-6560
